model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
MIROC-ES2L,Afghanistan,1850,641668456448.0,85057772489.78638,15.311017677254412,0.15738542161119087,0.17791723043042734,
MIROC-ES2L,Afghanistan,1851,641668456448.0,85177575998.48083,15.668802151894257,0.33799944191225045,0.19279171105627613,0.08029194424022834
MIROC-ES2L,Afghanistan,1852,641668456448.0,79904035253.11032,15.083776407533154,0.011351804816724369,0.17769499860380017,-0.08154179920815463
MIROC-ES2L,Afghanistan,1853,641668456448.0,77536764971.24121,15.664160023559063,0.38378491660493086,0.14122458148255743,-0.22971718987030898
MIROC-ES2L,Afghanistan,1854,641668456448.0,77290141707.33626,14.80265357938845,0.16984036372019956,0.24890549326037767,0.5667218795530962
MIROC-ES2L,Afghanistan,1855,641668456448.0,81561033356.01404,15.119369600352721,0.17163439646218548,0.19365233981082472,-0.25100879071322146
MIROC-ES2L,Afghanistan,1856,641668456448.0,80440391726.78156,16.092905041310985,0.006404300703459888,0.15652759569561353,-0.2128321638077013
MIROC-ES2L,Afghanistan,1857,641668456448.0,72156842795.60696,14.849850609386369,0.30921595807104835,0.16922472512050196,0.07799524129078095
MIROC-ES2L,Afghanistan,1858,641668456448.0,71531704208.53723,15.218630499091788,0.03101616534444116,0.1309028953913061,-0.25677177427027686
MIROC-ES2L,Afghanistan,1859,641668456448.0,71660483181.4359,14.851222292207066,0.5278137640201349,0.29329044699351137,0.8067076129044108
MIROC-ES2L,Afghanistan,1860,641668456448.0,75878819236.24557,14.510776903815772,0.4604361832318718,0.2856095008288176,-0.02653790856470195
MIROC-ES2L,Afghanistan,1861,641668456448.0,87755304758.89438,15.234444700627764,0.3257191444965442,0.27054348250531757,-0.05419266211827001
MIROC-ES2L,Afghanistan,1862,641668456448.0,86874650842.35278,14.930620920071064,0.3325057740684871,0.22733902074291581,-0.17399044720807177
MIROC-ES2L,Afghanistan,1863,641668456448.0,89056111581.0654,14.72126322243487,0.37927862196361195,0.25408909611778424,0.11124259083651689
MIROC-ES2L,Afghanistan,1864,641668456448.0,90657164719.98083,15.132446024523224,0.3273921734605577,0.1938640121826379,-0.27052803249007407
MIROC-ES2L,Afghanistan,1865,641668456448.0,91491299395.02864,15.330446967118942,0.13292884746945882,0.23963734889603522,0.21196978915415232
MIROC-ES2L,Afghanistan,1866,641668456448.0,91299509020.05896,15.536146064439112,0.3206259414126399,0.2676689044035792,0.1106240511127985
MIROC-ES2L,Afghanistan,1867,641668456448.0,95927193679.63922,15.651245936667692,0.37020550920621415,0.2746884969690668,0.025886931932846746
MIROC-ES2L,Afghanistan,1868,641668456448.0,96580327453.85007,14.416637272267337,0.21007793886905907,0.24201273719554936,-0.12664735952828754
MIROC-ES2L,Afghanistan,1869,641668456448.0,91498734169.71828,14.912294803000034,0.1720923481187509,0.19348910756847723,-0.22376913856145042
MIROC-ES2L,Afghanistan,1870,641668456448.0,94166949233.00745,16.379943449787884,-0.011822406651895555,0.1412833335555523,-0.314453887290461
MIROC-ES2L,Afghanistan,1871,641668456448.0,81334160517.37508,15.063218442058785,0.40126919518629617,0.2371213505780931,0.5178047058901509
MIROC-ES2L,Afghanistan,1872,641668456448.0,75407476307.51192,15.764091846283728,0.009968666114288052,0.1588263954510794,-0.40076028464320657
MIROC-ES2L,Afghanistan,1873,641668456448.0,86480365624.36868,15.391624255519698,-0.10132903138572161,0.18831416694542666,0.17029991566210034
MIROC-ES2L,Afghanistan,1874,641668456448.0,86562529028.02852,15.382341857833934,0.16534371342084725,0.2127494520314451,0.12200352293657502
MIROC-ES2L,Afghanistan,1875,641668456448.0,73366914744.15538,15.28013323129174,0.2220032606311064,0.2178400437576201,0.02364585743115466
MIROC-ES2L,Afghanistan,1876,641668456448.0,84396865776.28102,16.43910173686317,-0.2655540283307348,0.19390644213313032,-0.11638526354166068
MIROC-ES2L,Afghanistan,1877,641668456448.0,80646309151.9545,15.42471680757719,-0.04457616105304235,0.1400608192117121,-0.3252990344785003
MIROC-ES2L,Afghanistan,1878,641668456448.0,75050203489.28702,15.233126879575956,0.35990660476360975,0.1647808727346487,0.16253979602035762
MIROC-ES2L,Afghanistan,1879,641668456448.0,76626634887.81262,14.71937159763959,0.29799949098483736,0.19369636445596297,0.16167525405882133
MIROC-ES2L,Afghanistan,1880,641668456448.0,74894221612.12479,15.401968198823262,0.19408975891495564,0.19261711558012792,-0.005587439938840699
MIROC-ES2L,Afghanistan,1881,641668456448.0,76674975361.79861,16.433831474070168,-0.03589028082514246,0.1713402444181158,-0.11705304831186458
MIROC-ES2L,Afghanistan,1882,641668456448.0,79484751968.22256,15.327190278363338,-0.04253133659381789,0.2714215754982686,0.46002192824273536
MIROC-ES2L,Afghanistan,1883,641668456448.0,76357141814.61777,14.936556840976337,0.12992760618439378,0.15987954002381322,-0.5292525844569278
MIROC-ES2L,Afghanistan,1884,641668456448.0,73386137643.68146,14.878717619717682,0.3891793046535203,0.17908337618825382,0.11343082932597848
MIROC-ES2L,Afghanistan,1885,641668456448.0,79042655325.99536,14.98330692200416,0.21088819841066922,0.2821124679101987,0.45445432765016136
MIROC-ES2L,Afghanistan,1886,641668456448.0,84934003639.06784,16.32921125120131,-0.06776755683781027,0.18321394601460167,-0.4316512399296435
MIROC-ES2L,Afghanistan,1887,641668456448.0,81192575301.30334,15.37944878763765,0.30807212086321417,0.2184381948834571,0.17584853970110914
MIROC-ES2L,Afghanistan,1888,641668456448.0,82955517734.62631,14.253307205833778,0.21901234569011907,0.27923636084602843,0.2455554810876166
